,iris,wine,zoo,dermatology,hepatitis,breathalyzer,haberman,glass,tae,heartdisease,lungcancer,Avg. Rank
Random Selection,12.157 (37),16.774 (45),13.909 (40),27.996 (20),7.517 (8),35.225 (26),29.227 (5),18.850 (3),11.429 (9),20.149 (33),2.897 (34),23.64
Uncertainty Sampling,14.810 (16),18.421 (37),19.035 (7),25.909 (26),5.942 (26),32.071 (53),27.652 (26),17.735 (7),11.274 (11),22.538 (7),4.220 (6),20.18
Margin Sampling,13.557 (20),18.219 (38),18.810 (9),28.257 (19),5.942 (26),32.071 (53),27.652 (26),17.858 (6),11.658 (6),22.538 (7),4.153 (8),19.82
Maximum Diversity Sampling,15.130 (14),15.818 (47),16.720 (32),23.648 (39),7.161 (20),31.155 (60),27.606 (27),16.745 (20),12.069 (1),20.835 (30),3.957 (14),27.64
Sparsity Minimization,6.667 (51),13.466 (54),10.078 (58),12.706 (64),7.670 (2),39.388 (3),29.152 (6),15.148 (38),9.432 (48),19.788 (34),3.017 (31),35.36
Diversity + Density Maximization,6.667 (51),15.768 (49),11.414 (47),21.511 (42),7.670 (2),37.204 (12),28.699 (11),16.085 (29),9.421 (49),21.284 (23),3.170 (28),31.18
Certainty + Sparsity Minimization,6.667 (51),17.353 (41),11.162 (50),23.706 (37),7.670 (2),38.890 (4),28.218 (17),16.990 (18),10.755 (20),21.227 (25),3.003 (32),27.00
CGCC,12.780 (26),19.453 (21),16.440 (34),25.245 (27),7.603 (5),31.496 (58),29.021 (7),16.099 (28),11.692 (5),22.092 (18),3.497 (23),22.91
CGRC,13.780 (19),20.237 (2),18.340 (19),29.541 (15),6.342 (25),31.580 (57),28.586 (12),17.057 (15),10.505 (26),20.848 (29),3.640 (21),21.82
CGLC,12.547 (35),18.533 (35),15.342 (39),28.909 (17),6.944 (21),36.040 (18),28.902 (8),17.055 (16),11.208 (12),22.632 (5),3.577 (22),20.73
CGDC,8.987 (49),17.551 (40),11.092 (51),20.876 (45),7.480 (9),30.559 (64),29.408 (2),15.725 (34),10.892 (17),15.987 (55),3.810 (18),34.91
