,WinXwin,Comp,Talk,Vehicle,Avg. Rank
Random Selection,112.707 (22),99.852 (38),102.483 (45),112.572 (27),33.00
Uncertainty Sampling,109.993 (25),100.797 (35),103.137 (38),110.307 (33),32.75
Margin Sampling,109.993 (25),100.797 (35),103.137 (38),110.307 (33),32.75
Maximum Diversity Sampling,108.122 (27),96.559 (57),104.251 (30),106.469 (47),40.25
Sparsity Minimization,111.511 (24),105.268 (30),105.846 (28),113.357 (26),27.00
Diversity + Density Maximization,116.820 (10),113.153 (1),108.432 (9),119.469 (15),8.75
Certainty + Sparsity Minimization,117.368 (9),111.804 (7),107.491 (17),122.310 (11),11.00
CGCC,102.798 (57),96.125 (58),103.238 (37),104.644 (54),51.50
CGRC,103.854 (52),97.199 (54),100.939 (54),112.306 (28),47.00
CGLC,105.198 (41),107.075 (25),102.522 (43),116.088 (22),32.75
CGDC,103.280 (54),93.765 (59),101.960 (46),100.461 (62),55.25
CGCS,106.247 (34),88.112 (68),93.879 (66),103.758 (56),56.00
CGRS,103.953 (51),96.586 (56),100.177 (59),111.172 (30),49.00
CGLS,106.931 (30),106.603 (26),102.883 (40),116.488 (20),29.00
CGDS,97.012 (62),93.487 (60),102.840 (41),102.911 (57),55.00
LLAAPSisCLDM,103.299 (53),99.228 (40),105.638 (29),104.988 (51),43.25
LLAAPSisCLTM,93.768 (64),88.945 (67),93.553 (67),90.571 (67),66.25
LLAAPSisWSCLDM,107.204 (28),105.083 (32),103.980 (32),110.636 (32),31.00
LLAAPSisWSCLTM,105.876 (35),106.573 (27),100.850 (55),109.389 (38),38.75
LLADSCLDM,106.760 (31),99.973 (37),104.240 (31),102.731 (58),39.25
LLADSCLTM,93.794 (63),89.104 (66),97.403 (63),90.226 (68),65.00
LLADSWSCLDM,106.939 (29),105.831 (29),103.428 (36),110.785 (31),31.25
LLADSWSCLTM,105.778 (37),106.191 (28),101.114 (52),109.109 (41),39.50
LLAAPSesCLDM,103.299 (53),99.228 (40),105.638 (29),104.988 (51),43.25
LLAAPSesCLTM,93.768 (64),88.945 (67),93.553 (67),90.571 (67),66.25
LLAAPSesWSCLDM,107.204 (28),105.083 (32),103.980 (32),110.636 (32),31.00
LLAAPSesWSCLTM,105.876 (35),106.573 (27),100.850 (55),109.389 (38),38.75
LLTAPSisCLDM,105.368 (39),100.396 (36),107.338 (19),106.318 (49),35.75
LLTAPSisCLTM,92.308 (66),90.405 (64),102.514 (44),100.479 (61),58.75
LLTAPSisWSCLDM,102.916 (56),107.635 (23),101.466 (48),107.597 (46),43.25
LLTAPSisWSCLTM,100.675 (58),91.949 (62),96.687 (64),98.524 (65),62.25
LLTCCLDM,112.468 (23),105.242 (31),106.409 (26),114.542 (24),26.00
LLTCCLTM,98.275 (61),92.185 (61),101.367 (50),101.093 (60),58.00
LLTCWSCLDM,99.928 (60),108.388 (22),103.836 (33),101.280 (59),43.50
LLTCWSCLTM,99.937 (59),96.695 (55),99.426 (62),99.675 (63),59.75
LLTDSCLDM,106.334 (33),99.216 (41),103.740 (34),104.721 (53),40.25
LLTDSCLTM,93.498 (65),89.602 (65),99.830 (60),97.902 (66),64.00
LLTDSWSCLDM,103.015 (55),107.445 (24),103.658 (35),108.816 (44),39.50
LLTDSWSCLTM,100.675 (58),91.818 (63),96.685 (65),98.547 (64),62.50
LLTAPSesCLDM,105.368 (39),100.396 (36),107.338 (19),106.318 (49),35.75
LLTAPSesCLTM,92.308 (66),90.405 (64),102.514 (44),100.479 (61),58.75
LLTAPSesWSCLDM,102.916 (56),107.635 (23),101.466 (48),107.597 (46),43.25
LLTAPSesWSCLTM,100.675 (58),91.949 (62),96.687 (64),98.524 (65),62.25
LRAAPSisCLDM,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
LRAAPSisCLTM,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
LRAAPSisWSCLDM,113.502 (19),110.359 (19),106.441 (25),115.921 (23),21.50
LRAAPSisWSCLTM,113.829 (15),111.223 (14),106.567 (23),116.976 (19),17.75
LRADSCLDM,104.554 (48),97.312 (53),106.555 (24),103.961 (55),45.00
