,iris,wine,zoo,dermatology,hepatitis,breathalyzer,haberman,glass,tae,heartdisease,lungcancer
Random Selection,12.157,16.774,13.909,27.996,7.517,35.225,29.227,\textbf{18.850},11.429,20.149,2.863
Uncertainty Sampling,14.810,18.036,\textbf{19.035},25.907,5.942,32.071,27.652,17.735,11.274,22.443,4.237
Margin Sampling,13.557,17.590,18.810,27.893,5.942,32.071,27.652,17.858,11.658,22.443,4.170
Maximum Diversity Sampling,15.130,15.818,16.720,23.648,7.161,31.155,27.606,16.745,\textbf{12.069},20.835,3.957
CompStrat - Local Reachability (Counting),10.373,19.496,16.405,\textbf{31.015},\textbf{7.617},35.627,29.329,16.502,11.628,\textbf{22.750},3.447
CompStrat - Local Coverage (Counting),15.517,19.614,18.228,30.527,6.352,35.052,22.570,17.528,10.898,20.874,3.473
CompStrat - Local Dissimilarity (Counting),10.373,19.496,16.405,\textbf{31.015},\textbf{7.617},35.627,29.329,16.502,11.628,\textbf{22.750},3.447
CompStrat - Local Liability (Counting),8.987,15.785,11.092,21.037,7.480,30.337,29.323,16.031,11.105,15.977,3.870
CompStrat - Global Coverage (Counting),12.780,19.447,16.440,25.245,7.603,31.496,29.021,16.099,11.692,22.092,3.497
CompStrat - Global Reachability (Counting),13.780,20.214,18.340,29.541,6.342,31.580,28.586,17.057,10.505,20.848,3.640
CompStrat - Global Liability (Counting),12.547,18.533,15.342,28.909,6.944,\textbf{36.040},28.902,17.055,11.208,22.632,3.577
CompStrat - Global Dissimilarity (Counting),8.987,17.551,11.092,20.876,7.480,30.559,\textbf{29.408},15.725,10.892,15.987,3.810
CompStrat - Local Reachability (Similarity),15.310,19.751,18.198,23.056,7.433,30.671,26.452,17.085,10.867,22.111,4.610
CompStrat - Local Coverage (Similarity),\textbf{15.673},20.087,18.495,30.685,6.342,33.954,21.317,17.550,10.791,19.017,3.473
CompStrat - Local Liability (Similarity),9.740,8.936,10.985,20.058,7.420,31.829,26.559,15.036,11.999,14.538,4.093
CompStrat - Global Coverage (Similarity),13.527,18.106,18.844,26.880,7.413,31.841,16.762,15.977,9.935,14.457,\textbf{4.687}
CompStrat - Global Reachability (Similarity),12.613,\textbf{20.390},18.579,30.847,3.573,30.240,28.181,17.101,10.462,17.347,3.657
CompStrat - Global Liability (Similarity),12.547,18.908,16.049,29.027,6.928,35.632,28.261,16.876,11.025,22.655,3.577
CompStrat - Global Dissimilarity (Similarity),10.150,10.297,11.165,17.911,7.410,30.509,27.429,14.752,11.767,14.508,4.183
