,Maximum Density*Diversity,Maximum Density+Diversity,Least Confident Selection,Competence Based Selection,Random Selection,Maximum Density Sampling,Margin Sampling,Maximum Diversity Sampling
iris,13.34,12.9433333333,14.6533333333,6.59666666666,13.0366666667,11.4866666667,14.0366666667,15.45
tae,10.54125,10.9216666667,10.8275,10.8735416667,10.8641666667,10.9183333333,10.3985416667,11.163125
hepatitis,6.31833333333,6.48666666667,5.32833333333,2.69916666666,7.61166666667,6.09333333333,5.32833333333,4.91833333333
zoo,18.4109090909,18.0186363636,16.6459090909,5.825,14.5472727273,8.97818181817,14.3495454545,18.5072727273
glass,13.7812380952,12.8143809524,17.4806666667,14.6455238095,20.5123809524,8.37857142858,15.957047619,18.5523809524
lung-cancer,3.43333333333,3.4,4.12,2.95,2.88,2.88666666667,3.75333333333,3.59666666667
heart\_disease,22.4463636364,22.3174242424,22.2812121212,14.7034848485,21.9763636364,16.6877272727,22.2812121212,20.5825757576
dermatology,21.9071428571,21.9259920635,28.246031746,13.6732142857,27.9783730159,18.8452380952,27.5823412698,22.3898809524
breathalyzer,30.3096491228,30.3984649123,32.6682017544,27.5212719298,32.1153508772,31.3177631579,32.6682017544,29.7364035088
haberman,28.0963888889,28.0288888889,25.8586111111,27.7363888889,27.0305555556,24.9819444444,25.8586111111,27.1130555556
wine,16.7803529412,16.7169411765,16.6567058824,9.17235294118,18.4522352941,17.8682352941,16.4576470588,15.2385882353
