,WinXwin,Comp,Talk,Vehicle
Random Selection,112.707,99.852,102.483,112.572
Uncertainty Sampling,109.993,100.969,103.137,110.307
Margin Sampling,109.993,100.969,103.137,110.307
Maximum Diversity Sampling,108.122,96.559,104.251,106.469
Maximum Density Times Diversity,104.722,99.931,101.061,104.567
CompStrat - New Case Reachability,\textbf{113.601},104.740,\textbf{106.709},114.028
CompStrat - New Case Coverage,109.482,101.852,102.566,112.005
CompStrat - New Case Dissimilarity,\textbf{113.601},104.740,\textbf{106.709},114.028
CompStrat - New Case Liability,98.275,92.185,101.367,101.093
CompStrat - Other Cases Coverage,102.798,96.125,103.246,104.644
CompStrat - Other Cases Reachability,103.854,97.199,100.939,112.306
CompStrat - Other Cases Liability,105.198,\textbf{107.075},102.522,\textbf{116.088}
CompStrat - Other Cases Dissimilarity,103.280,93.765,101.960,100.461
